id;DATE_TIME;PERIOD;HOUR;IRRADIATION;AC_POWER;AMBIENT_TEMPERATURE;EFFICIENCY;label_humain
99297;2020-05-31 10:30:00;Matin;10;0.72;904.03;32.27;1262.84;0
15483;2020-05-23 03:30:00;Nuit;3;0.0;0.0;21.96;0.0;0
13557;2020-05-22 04:45:00;Nuit;4;0.0;0.0;22.94;0.0;0
64130;2020-06-15 20:00:00;Soir;20;0.0;0.0;23.38;0.0;0
23971;2020-05-27 07:00:00;Matin;7;0.16;184.54;24.46;1141.54;0
56695;2020-06-12 07:15:00;Matin;7;0.07;101.55;21.77;1427.91;0
37072;2020-06-02 22:00:00;Nuit;22;0.0;0.0;23.1;0.0;0
89010;2020-05-25 20:45:00;Soir;20;0.0;0.0;33.12;0.0;0
19354;2020-05-25 01:30:00;Nuit;1;0.0;0.0;23.77;0.0;0
111035;2020-06-06 00:45:00;Nuit;0;0.0;0.0;23.65;0.0;0
37911;2020-06-03 07:30:00;Matin;7;0.2;273.57;23.29;1390.67;0
22392;2020-05-26 12:30:00;Midi;12;0.54;866.75;31.58;1590.79;0
122113;2020-06-11 06:45:00;Matin;6;0.02;33.79;24.23;1501.96;0
38656;2020-06-03 16:15:00;Midi;16;0.28;399.92;27.12;1452.0;0
20397;2020-05-25 14:00:00;Midi;14;0.86;1089.16;33.32;1265.4;0
131035;2020-06-15 12:15:00;Midi;12;0.82;0.0;31.54;0.0;1
27379;2020-05-29 06:15:00;Matin;6;0.04;52.78;20.84;1290.47;0
69917;2020-05-15 14:30:00;Midi;14;0.68;983.33;37.27;1443.81;0
51223;2020-06-09 17:00:00;Midi;17;0.23;328.39;29.19;1413.79;0
47621;2020-06-08 00:00:00;Nuit;0;0.0;0.0;23.32;0.0;0
112721;2020-06-06 20:00:00;Soir;20;0.0;0.0;27.95;0.0;0
118646;2020-06-09 15:15:00;Midi;15;0.42;610.07;33.7;1441.29;0
58163;2020-06-13 00:00:00;Nuit;0;0.0;0.0;21.77;0.0;0
49784;2020-06-09 00:45:00;Nuit;0;0.0;0.0;22.15;0.0;0
52696;2020-06-10 09:45:00;Matin;9;0.45;638.49;27.17;1427.0;0
89140;2020-05-25 22:30:00;Nuit;22;0.0;0.0;29.53;0.0;0
34987;2020-06-01 22:00:00;Nuit;22;0.0;0.0;23.2;0.0;0
128982;2020-06-14 12:45:00;Midi;12;0.88;0.0;32.1;0.0;1
10032;2020-05-19 23:00:00;Nuit;23;0.0;0.0;23.23;0.0;0
97784;2020-05-30 17:15:00;Midi;17;0.2;304.33;35.45;1513.0;0
26330;2020-05-28 10:30:00;Matin;10;0.82;874.2;29.48;1068.4;0
22339;2020-05-26 12:00:00;Midi;12;0.69;997.99;30.9;1450.37;0
39167;2020-06-03 22:00:00;Nuit;22;0.0;0.0;23.12;0.0;0
75855;2020-05-18 10:15:00;Matin;10;0.69;946.81;28.33;1377.82;0
33552;2020-06-01 05:45:00;Nuit;5;0.0;0.0;21.17;0.0;0
78799;2020-05-19 19:45:00;Soir;19;0.0;0.0;22.47;0.0;0
2609;2020-05-16 09:15:00;Matin;9;0.42;563.41;26.3;1342.77;0
29033;2020-05-30 01:45:00;Nuit;1;0.0;0.0;21.26;0.0;0
8667;2020-05-19 06:15:00;Matin;6;0.01;7.36;23.34;759.25;0
125820;2020-06-13 00:45:00;Nuit;0;0.0;0.0;23.08;0.0;0
21977;2020-05-26 08:00:00;Matin;8;0.4;532.95;25.35;1346.64;0
15742;2020-05-23 08:00:00;Matin;8;0.32;424.58;23.9;1308.23;0
71170;2020-05-16 05:00:00;Nuit;5;0.0;0.0;23.56;0.0;0
32226;2020-05-31 14:45:00;Midi;14;0.18;254.91;29.18;1408.02;0
15661;2020-05-23 07:00:00;Matin;7;0.07;99.01;22.41;1418.78;0
26945;2020-05-28 17:30:00;Midi;17;0.08;110.77;31.96;1324.77;0
99768;2020-05-31 15:45:00;Midi;15;0.19;285.51;28.09;1536.12;0
34387;2020-06-01 15:15:00;Midi;15;0.13;191.44;26.8;1502.11;0
53562;2020-06-10 19:45:00;Soir;19;0.0;0.0;24.24;0.0;0
112011;2020-06-06 11:45:00;Matin;11;0.69;902.33;31.97;1317.23;0
119360;2020-06-09 23:30:00;Nuit;23;0.0;0.0;25.68;0.0;0
55990;2020-06-11 23:15:00;Nuit;23;0.0;0.0;23.2;0.0;0
42100;2020-06-05 08:15:00;Matin;8;0.37;644.76;23.99;1742.02;0
101763;2020-06-01 14:30:00;Midi;14;0.04;54.08;25.78;1466.64;0
3903;2020-05-17 00:00:00;Nuit;0;0.0;0.0;24.17;0.0;0
41155;2020-06-04 21:30:00;Soir;21;0.0;0.0;23.41;0.0;0
101666;2020-06-01 13:30:00;Midi;13;0.03;38.8;24.82;1278.3;0
5264;2020-05-17 15:30:00;Midi;15;0.59;821.86;34.98;1390.86;0
102086;2020-06-01 18:30:00;Soir;18;0.0;0.0;23.59;0.0;0
103867;2020-06-02 14:45:00;Midi;14;0.67;979.85;32.74;1460.95;0
43865;2020-06-06 04:30:00;Nuit;4;0.0;0.0;21.28;0.0;0
102708;2020-06-02 01:30:00;Nuit;1;0.0;0.0;23.28;0.0;0
121705;2020-06-11 02:00:00;Nuit;2;0.0;0.0;24.58;0.0;0
76012;2020-05-18 12:00:00;Midi;12;0.88;0.0;30.22;0.0;1
82057;2020-05-21 20:15:00;Soir;20;0.0;0.0;29.51;0.0;0
114726;2020-06-07 18:45:00;Soir;18;0.0;2.61;29.3;698.67;0
92336;2020-05-27 19:00:00;Soir;19;0.0;0.0;32.29;0.0;0
11983;2020-05-21 10:00:00;Matin;10;0.7;603.24;28.21;861.08;0
133118;2020-06-16 11:45:00;Matin;11;0.61;542.63;29.99;882.39;0
91440;2020-05-27 06:30:00;Matin;6;0.06;80.35;25.86;1421.24;0
89892;2020-05-26 09:00:00;Matin;9;0.63;845.48;29.43;1350.63;0
106466;2020-06-03 20:30:00;Soir;20;0.0;0.0;24.66;0.0;0
72915;2020-05-17 00:45:00;Nuit;0;0.0;0.0;25.91;0.0;0
130925;2020-06-15 11:00:00;Matin;11;0.38;0.0;30.27;0.0;1
65934;2020-06-16 16:30:00;Midi;16;0.19;272.81;27.7;1439.24;0
17723;2020-05-24 07:00:00;Matin;7;0.15;176.99;24.42;1151.61;0
72504;2020-05-16 20:00:00;Soir;20;0.0;0.0;28.76;0.0;0
123277;2020-06-11 20:00:00;Soir;20;0.0;0.0;23.93;0.0;0
107636;2020-06-04 09:45:00;Matin;9;0.51;703.18;27.65;1374.7;0
54737;2020-06-11 09:00:00;Matin;9;0.24;366.3;24.3;1506.85;0
114888;2020-06-07 20:30:00;Soir;20;0.0;0.0;27.15;0.0;0
30376;2020-05-30 17:30:00;Midi;17;0.14;184.41;30.04;1307.76;0
41314;2020-06-04 23:15:00;Nuit;23;0.0;0.0;22.45;0.0;0
85791;2020-05-24 00:00:00;Nuit;0;0.0;0.0;26.4;0.0;0
80170;2020-05-20 18:45:00;Soir;18;0.0;0.0;30.55;0.0;0
106986;2020-06-04 02:30:00;Nuit;2;0.0;0.0;23.38;0.0;0
9069;2020-05-19 10:45:00;Matin;10;0.6;684.96;27.82;1138.64;0
46882;2020-06-07 15:45:00;Midi;15;0.46;613.29;30.42;1333.29;0
75581;2020-05-18 07:00:00;Matin;7;0.01;5.5;22.27;826.64;0
57382;2020-06-12 15:00:00;Midi;15;0.4;570.19;28.23;1438.18;0
42418;2020-06-05 11:45:00;Matin;11;0.95;1239.21;28.79;1302.13;0
82395;2020-05-22 01:00:00;Nuit;1;0.0;0.0;25.23;0.0;0
16152;2020-05-23 12:45:00;Midi;12;0.67;884.94;31.11;1324.98;0
113237;2020-06-07 01:45:00;Nuit;1;0.0;0.0;24.19;0.0;0
108275;2020-06-04 17:00:00;Midi;17;0.2;281.59;28.51;1386.29;0
17840;2020-05-24 08:15:00;Matin;8;0.36;480.0;26.31;1328.88;0
79106;2020-05-20 00:15:00;Nuit;0;0.0;0.0;23.5;0.0;0
27825;2020-05-29 11:15:00;Matin;11;0.84;1063.42;29.17;1258.75;0
129909;2020-06-14 23:15:00;Nuit;23;0.0;0.0;24.65;0.0;0
39108;2020-06-03 21:30:00;Soir;21;0.0;0.0;23.36;0.0;0
111986;2020-06-06 11:30:00;Matin;11;0.92;1135.75;31.85;1234.98;0
66595;2020-06-17 00:00:00;Nuit;0;0.0;0.0;22.9;0.0;0
88689;2020-05-25 16:15:00;Midi;16;0.44;625.09;38.04;1411.17;0
129838;2020-06-14 22:30:00;Nuit;22;0.0;0.0;24.14;0.0;0
18875;2020-05-24 20:00:00;Soir;20;0.0;0.0;27.46;0.0;0
28971;2020-05-30 01:00:00;Nuit;1;0.0;0.0;21.32;0.0;0
116762;2020-06-08 18:00:00;Soir;18;0.1;140.1;31.76;1338.92;0
77239;2020-05-19 02:00:00;Nuit;2;0.0;0.0;25.33;0.0;0
39703;2020-06-04 04:15:00;Nuit;4;0.0;0.0;21.78;0.0;0
37178;2020-06-02 23:15:00;Nuit;23;0.0;0.0;23.15;0.0;0
67734;2020-06-17 13:30:00;Midi;13;0.66;925.25;28.95;1403.17;0
46821;2020-06-07 15:00:00;Midi;15;0.63;936.63;30.05;1488.69;0
85613;2020-05-23 21:30:00;Soir;21;0.0;0.0;28.98;0.0;0
20070;2020-05-25 10:15:00;Matin;10;0.83;1065.34;29.22;1277.14;0
121674;2020-06-11 01:45:00;Nuit;1;0.0;0.0;24.63;0.0;0
6912;2020-05-18 10:15:00;Matin;10;0.14;225.59;23.84;1585.89;0
93597;2020-05-28 12:30:00;Midi;12;0.92;0.0;34.54;0.0;1
8588;2020-05-19 05:15:00;Nuit;5;0.0;0.0;23.34;0.0;0
34802;2020-06-01 20:00:00;Soir;20;0.0;0.0;23.95;0.0;0
7119;2020-05-18 12:30:00;Midi;12;0.59;820.41;26.84;1382.93;0
96605;2020-05-30 04:00:00;Nuit;4;0.0;0.0;24.0;0.0;0
63330;2020-06-15 11:00:00;Matin;11;0.7;868.41;28.79;1235.74;0
114738;2020-06-07 19:00:00;Soir;19;0.0;0.0;28.92;0.0;0
24938;2020-05-27 18:00:00;Soir;18;0.02;25.76;29.45;1233.32;0
58056;2020-06-12 22:45:00;Nuit;22;0.0;0.0;22.6;0.0;0
130935;2020-06-15 11:00:00;Matin;11;0.38;0.0;30.27;0.0;1
68985;2020-05-15 03:45:00;Nuit;3;0.0;0.0;26.0;0.0;0
107466;2020-06-04 07:45:00;Matin;7;0.24;344.45;25.12;1462.14;0
508;2020-05-15 05:45:00;Nuit;5;0.0;0.0;24.29;0.0;0
83997;2020-05-22 23:15:00;Nuit;23;0.0;0.0;27.42;0.0;0
19410;2020-05-25 02:15:00;Nuit;2;0.0;0.0;23.72;0.0;0
119375;2020-06-09 23:45:00;Nuit;23;0.0;0.0;25.56;0.0;0
133044;2020-06-16 11:00:00;Matin;11;0.44;669.49;28.43;1539.0;0
8256;2020-05-19 01:30:00;Nuit;1;0.0;0.0;22.59;0.0;0
33110;2020-06-01 00:45:00;Nuit;0;0.0;0.0;22.81;0.0;0
85580;2020-05-23 21:15:00;Soir;21;0.0;0.0;29.38;0.0;0
15946;2020-05-23 10:15:00;Matin;10;0.64;869.63;28.02;1367.02;0
101715;2020-06-01 14:00:00;Midi;14;0.05;86.21;25.42;1567.95;0
96321;2020-05-30 00:45:00;Nuit;0;0.0;0.0;27.07;0.0;0
